BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE
1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,10027,4,0,4800,1910,2,C4,3760000
1,MIDTOWN EAST,02 TWO FAMILY DWELLINGS                    ,10017,2,0,4800,1899,1,B9,7000000
4,RIDGEWOOD,07 RENTALS - WALKUP APARTMENTS             ,11385,6,0,4800,1930,2,C2,1400000
5,ROSSVILLE-PORT MOBIL,30 WAREHOUSES                              ,10309,0,1,4800,2004,4,E2,1350000
1,HARLEM-CENTRAL,14 RENTALS - 4-10 UNIT                     ,10027,3,1,4804,1909,2,S3,3550000
5,ARROCHAR,01 ONE FAMILY DWELLINGS                    ,10305,1,0,4807,2000,1,A3,370500
1,SOHO,22 STORE BUILDINGS                         ,10013,0,4,4808,1910,4,K4,28000000
1,HARLEM-EAST,07 RENTALS - WALKUP APARTMENTS             ,10029,9,1,4809,1920,2,C7,2470000
5,RICHMONDTOWN,01 ONE FAMILY DWELLINGS                    ,10306,1,0,4813,1987,1,A3,995000
1,HARLEM-UPPER,07 RENTALS - WALKUP APARTMENTS             ,10031,4,0,4816,1926,2,C3,1600000
5,STAPLETON,02 TWO FAMILY DWELLINGS                    ,10304,2,1,4820,1910,1,S2,25000
1,UPPER EAST SIDE (59-79),02 TWO FAMILY DWELLINGS                    ,10021,2,0,4842,1920,1,B1,18000000
5,TOTTENVILLE,01 ONE FAMILY DWELLINGS                    ,10307,1,0,4852,1995,1,A3,1190000
5,PRINCES BAY,01 ONE FAMILY DWELLINGS                    ,10309,1,0,4864,1986,1,A3,1375000
4,WOODSIDE,03 THREE FAMILY DWELLINGS                  ,11377,3,0,4872,2015,1,C0,2804340
4,RIDGEWOOD,07 RENTALS - WALKUP APARTMENTS             ,11385,6,0,4875,1930,2,C2,1700000
4,RIDGEWOOD,07 RENTALS - WALKUP APARTMENTS             ,11385,6,0,4875,1930,2,C2,147665
4,RIDGEWOOD,07 RENTALS - WALKUP APARTMENTS             ,11385,6,0,4875,1930,2,C2,1586943
4,RIDGEWOOD,07 RENTALS - WALKUP APARTMENTS             ,11385,6,0,4875,1930,2,C2,1480000
4,RIDGEWOOD,07 RENTALS - WALKUP APARTMENTS             ,11385,6,0,4875,1930,2,C2,1275000
4,RIDGEWOOD,07 RENTALS - WALKUP APARTMENTS             ,11385,6,0,4875,1930,2,C2,425000
4,RIDGEWOOD,07 RENTALS - WALKUP APARTMENTS             ,11385,6,0,4875,1931,2,C2,1400000
5,TOTTENVILLE,01 ONE FAMILY DWELLINGS                    ,10307,1,0,4880,1988,1,A3,850000
1,GREENWICH VILLAGE-WEST,07 RENTALS - WALKUP APARTMENTS             ,10014,10,0,4884,1910,2,C1,7500000
5,TODT HILL,01 ONE FAMILY DWELLINGS                    ,10301,1,0,4890,1987,1,A3,1555000
5,PRINCES BAY,01 ONE FAMILY DWELLINGS                    ,10309,1,0,4891,2014,1,A3,967337
1,UPPER WEST SIDE (79-96),03 THREE FAMILY DWELLINGS                  ,10024,3,0,4900,1910,1,C0,9475000
4,RIDGEWOOD,02 TWO FAMILY DWELLINGS                    ,11385,2,1,4900,1931,1,S2,1134305
4,WOODSIDE,27 FACTORIES                               ,11377,0,1,4900,1958,4,F4,2700000
4,WOODSIDE,22 STORE BUILDINGS                         ,11377,0,4,4902,1939,4,K1,1600000
5,NEW BRIGHTON,02 TWO FAMILY DWELLINGS                    ,10301,2,0,4921,1950,1,B3,955000
1,UPPER WEST SIDE (59-79),01 ONE FAMILY DWELLINGS                    ,10023,1,0,4932,1900,1,A4,7075000
5,NEW BRIGHTON,02 TWO FAMILY DWELLINGS                    ,10301,2,0,4935,1901,1,B1,740000
1,HARLEM-UPPER,01 ONE FAMILY DWELLINGS                    ,10031,1,0,4944,1899,1,A9,3395000
5,SUNNYSIDE,01 ONE FAMILY DWELLINGS                    ,10301,1,0,4950,1930,1,A1,1188000
1,MIDTOWN EAST,07 RENTALS - WALKUP APARTMENTS             ,10022,8,1,4960,1900,2,C4,86000000
4,RIDGEWOOD,02 TWO FAMILY DWELLINGS                    ,11385,2,1,4960,1901,1,S2,2150000
1,CHELSEA,02 TWO FAMILY DWELLINGS                    ,10011,2,1,4978,1920,1,S2,7750000
1,LOWER EAST SIDE,14 RENTALS - 4-10 UNIT                     ,10002,3,1,4980,1900,2,S3,5250000
1,FASHION,14 RENTALS - 4-10 UNIT                     ,10001,4,3,4988,1915,2,S9,12750000
5,TOTTENVILLE,02 TWO FAMILY DWELLINGS                    ,10307,2,0,4998,2005,1,B2,700000
1,LOWER EAST SIDE,22 STORE BUILDINGS                         ,10002,0,1,5000,1900,4,K2,8000000
4,RIDGEWOOD,14 RENTALS - 4-10 UNIT                     ,11385,4,3,5000,1931,2,S9,2530000
5,MARINERS HARBOR,27 FACTORIES                               ,10303,0,1,5000,1950,4,F1,925000
1,GREENWICH VILLAGE-CENTRAL,22 STORE BUILDINGS                         ,10003,0,2,5003,1901,4,K4,9300000
1,HARLEM-CENTRAL,02 TWO FAMILY DWELLINGS                    ,10026,2,0,5004,1900,1,B2,3500000
1,UPPER WEST SIDE (79-96),07 RENTALS - WALKUP APARTMENTS             ,10024,5,0,5015,1910,2,C2,6500000
